feature,mean_abs_shap
HU-HR_t-570min,179.81630409958245
Estimated Solar Power Production (Current)_t+165min,179.71525593327164
HU-UA Schedule_t+675min,179.56688876524547
HU-UA_t-240min,178.64694498220175
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-15min,178.63044909783267
HU-UA Schedule_t+375min,178.5182999208515
HU-SK,178.3082719282594
HU-HR_t-600min,178.2859510096415
Estimated Solar Power Production (Day-Ahead)_t+15min,178.26241253654769
System Direction (kWh)_t-390min,178.26045455809376
dayofweek_sin,178.1903865978267
HU-RO Schedule_t+375min,178.08376862207848
Estimated Solar Power Production (Current)_t+60min,178.05533423390517
HU-UA Schedule_t+45min,177.9583619413223
HU-AT Schedule_t+195min,177.89048146301704
HU-RO Schedule_t+315min,177.32782350103477
Estimated Solar Power Production (Day-Ahead)_t+390min,176.26281935692688
Gross Certified System Load (Actual)_t-30min,176.22939931399767
HU-SK Schedule_t+120min,176.16715992617333
HU-SK_t-345min,175.70071421949675
System Direction (kWh)_t-255min,175.4213381550945
Estimated Wind Power Production (Current)_t+120min,175.34904496853784
Solar Power Plants Net (Operational Control)_t-345min,175.18498845493667
Gross Certified System Load (Actual),174.8371327872421
HU-RS Schedule_t+90min,174.31641657819475
HU-UA_t-165min,174.0109282390286
HU-AT Schedule_t+510min,173.82095278555465
HU-UA Schedule_t+480min,173.37301180591933
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-30min,173.30623337357164
Gross Certified System Load (Actual)_t-435min,172.78791433983545
Gross System Load Forecast (Day-Ahead)_t+90min,172.52144685332763
HU-AT Schedule_t+225min,172.48675008257828
HU-AT Schedule_t+435min,172.14380685546178
Solar Power Plants Net (Operational Control)_t-255min,171.3038886723713
HU-UA Schedule_t+105min,170.66363517096013
Negative GCC Energy (kWh)_t-150min,170.57827760633586
Gross Planned Power Plant Generation_t+15min,170.38800466160882
HU-SK Schedule_t+255min,169.68586146001883
Negative GCC Energy (kWh)_t-45min,169.6499870410808
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-15min,169.13657115890038
HU-UA_t-105min,168.87223948628468
Solar Power Plants Net (Operational Control)_t-195min,168.80003322555552
HU-UA_t-495min,168.7013264683173
Solar Power Plants Net (Operational Control)_t-120min,168.60773535992257
Estimated Solar Power Production (Current)_t+240min,168.471726916087
Estimated Solar Power Production (Day-Ahead)_t+240min,167.8497829098954
HU-SK Schedule_t+285min,167.75216948488406
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-45min,167.65310733850782
Estimated Solar Power Production (Day-Ahead)_t+105min,167.5469065932393
Requested Negative aFRR Balancing Energy (kWh)_t-150min,167.1985395060921
System Direction (kWh)_t-465min,166.8570975200577
Gross Planned Power Plant Generation_t+495min,166.7551590295914
Estimated Solar Power Production (Day-Ahead)_t+210min,166.73199233750069
HU-RO Schedule_t+450min,166.6238101215014
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-60min,166.09159892039762
HU-RS Schedule_t+450min,165.54727273363864
HU-AT Schedule_t+240min,165.19872496832477
Solar Power Plants Net (Operational Control)_t-150min,165.11616639109496
Gross Actual Power Plant Generation_t-195min,164.6778951225381
HU-SK Schedule_t+90min,163.96706105598759
HU-HR Schedule,163.42681985382174
HU-UA_t-390min,163.17032016785365
Estimated Solar Power Production (Day-Ahead)_t+315min,162.77354689643644
HU-SK_t-570min,162.4028236879444
HU-UA_t-510min,162.37154832330185
HU-RO_t-345min,162.360845817907
HU-HR Schedule_t+75min,162.33126894081306
Estimated Wind Power Production (Intraday)_t+105min,162.27388732943035
ssrd_std_t+60min,161.75711106744288
Gross Planned Power Plant Generation_t+390min,161.57422131882873
HU-RS_t-75min,160.86641029693737
Gross Actual Power Plant Generation_t-210min,160.69936333593833
HU-AT Schedule_t+585min,160.41399085544126
HU-SK Schedule_t+270min,160.2540462292139
HU-UA Schedule_t+330min,159.8721706953948
HU-SK_t-600min,159.66379224401433
HU-RO Schedule_t+630min,159.4256438265934
Estimated Solar Power Production (Current)_t+135min,159.23018457081176
Gross Planned Power Plant Generation_t+255min,159.11142273122124
Estimated Solar Power Production (Intraday)_t+435min,159.09310853179687
Estimated Solar Power Production (Day-Ahead)_t+450min,158.881817282324
Solar Power Plants Net (Operational Control),158.82746074390766
Estimated Solar Power Production (Intraday)_t+75min,158.67980846438343
HU-AT Schedule_t+630min,158.672512781248
HU-AT Schedule_t+705min,158.19874313289793
Estimated Solar Power Production (Current)_t+180min,158.1504137957774
Negative GCC Energy (kWh)_t-540min,157.59904509204688
Gross System Load Forecast (Day-Ahead)_t+705min,157.5241077492912
System Direction (kWh)_t-315min,157.43005150833847
HU-UA Schedule_t+420min,157.3083863619857
Gross Actual Power Plant Generation_t-270min,156.95876662326398
HU-AT_t-120min,156.94129871772012
Gross Planned Power Plant Generation_t+510min,156.03177990821754
Estimated Solar Power Production (Day-Ahead)_t+75min,155.80626866879015
HU-UA_t-180min,155.4488733744294
Solar Power Plants Net (Operational Control)_t-540min,155.02047681405
HU-UA Schedule_t+165min,154.88716792325462
HU-UA_t-210min,154.7598984854605
Gross Actual Power Plant Generation_t-180min,154.68959809577152
HU-UA Schedule_t+450min,154.30317577366856
HU-SK_t-540min,153.8650836271882
HU-HR Schedule_t+30min,153.46676178943102
HU-HR Schedule_t+555min,152.9148662816224
Solar Power Plants Net (Operational Control)_t-510min,152.48911661425473
System Direction (kWh)_t-270min,152.21440355729015
Gross Certified System Load (Actual)_t-300min,152.07066437875974
System Direction (kWh)_t-405min,151.77621224116808
HU-SK Schedule_t+180min,151.413638215369
Positive GCC Energy (kWh)_t-45min,151.2545026373788
HU-RO Schedule_t+420min,150.75412007303945
ssrd_mean_t+45min,150.62254516317248
HU-UA Schedule_t+30min,150.43694621542053
Activated Negative aFRR Balancing Energy (kWh)_t-45min,150.32203241261567
HU-RO Schedule_t+390min,148.86801361101288
Estimated Solar Power Production (Current)_t+15min,148.8246204966983
HU-SK_t-510min,148.6378359140627
Estimated Solar Power Production (Intraday)_t+30min,148.5703780439838
HU-SK Schedule_t+210min,148.4716362778484
HU-UA_t-225min,147.62173775408465
HU-UA Schedule_t+270min,147.41324565295096
Gross Planned Power Plant Generation_t+525min,147.3867974941839
HU-HR Schedule_t+225min,147.38111721507153
Estimated Wind Power Production (Current)_t+135min,147.33515973263152
Gross Actual Power Plant Generation_t-240min,147.2521574578971
HU-RO_t-90min,147.2493735364312
HU-AT Schedule_t+405min,146.89094308475586
HU-UA Schedule_t+555min,146.83320114501154
Negative GCC Energy (kWh)_t-135min,146.52736927519277
Positive GCC Energy (kWh)_t-15min,146.13248350810582
Gross Actual Power Plant Generation_t-135min,145.8437873281854
HU-UA_t-480min,145.81391302657795
HU-RO Schedule_t+90min,145.30822763953844
Activated Positive aFRR Balancing Energy Cost (HUF)_t-15min,144.83145003385624
Estimated Wind Power Production (Intraday)_t+135min,144.66095078619523
HU-SK_t-210min,144.6062545578331
Gross Certified System Load (Actual)_t-210min,144.49382780428624
HU-AT Schedule_t+390min,144.35518472594094
Gross System Load Forecast (Day-Ahead),144.28142426587448
HU-RO Schedule_t+555min,143.6062272005433
HU-AT Schedule_t+210min,143.60131136034119
Gross System Load Forecast (Day-Ahead)_t+45min,143.56983352891308
Gross Actual Power Plant Generation_t-480min,143.4242323979979
Requested Negative aFRR Balancing Energy (kWh)_t-105min,142.7324224040295
Solar Power Plants Net (Operational Control)_t-225min,142.70916433618007
HU-HR Schedule_t+165min,142.6150290471059
Solar Power Plants Net (Operational Control)_t-240min,142.5107071112422
Gross Planned Power Plant Generation_t+240min,141.59749869127464
HU-SK_t-285min,141.4715930273972
HU-RO Schedule_t+150min,141.33835170077845
Requested Positive aFRR Balancing Energy (kWh)_t-15min,141.27892243759317
HU-UA Schedule_t+315min,140.34975676389135
HU-RO Schedule_t+570min,140.24641605811902
Gross Certified System Load (Actual)_t-540min,139.80082752277514
Gross Planned Power Plant Generation_t+105min,139.79976429701452
HU-UA Schedule_t+660min,139.72867947571842
HU-UA Schedule_t+570min,139.59365216029195
Estimated Solar Power Production (Current),139.54444205863484
HU-UA_t-435min,139.5178327857503
System Direction (kWh)_t-375min,139.27783666063584
HU-UA Schedule_t+390min,138.88459657958725
Gross Actual Power Plant Generation_t-540min,138.7419923711376
Estimated Solar Power Production (Current)_t+195min,138.33803497945397
HU-HR Schedule_t+45min,138.21775800121873
HU-RS_t-105min,137.75418787378095
