,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,System Direction (kWh)_t+15min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,System Direction (kWh)_t+30min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,System Direction (kWh)_t+45min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,System Direction (kWh)_t+60min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,System Direction (kWh)_t+75min
Estimated Solar Power Production (Intraday),0.005049999114573893,0.0043351797302408155,0.004737472067746511,0.005076128218821009,0.00511628409038725,0.004896894456270581,0.005944064911818168,0.006039719473437617,0.006541748924022976,0.007079218578814744,0.007078422502770809,0.00504463753704565,0.007084409508169664,0.0072141440650149895,0.005645848067556289
Estimated Wind Power Production (Current),0.0069039960222748165,0.006404221163216504,0.0036442740949307606,0.008740817133556822,0.008808781840346246,0.0036154528956131235,0.010689633318665459,0.010761478996880283,0.004099504736085419,0.010675301315839828,0.010511605663969664,0.003917573739806129,0.009363516038538546,0.009555586700862704,0.003904417294095333
Estimated Wind Power Production (Day-Ahead),0.007051923796339975,0.006868946770461503,0.004029956684555083,0.005503474363690549,0.005484987799984213,0.003874582451618966,0.006114759700812237,0.00589385769019002,0.004393258158498972,0.007140904097465863,0.0074749158767312114,0.003585392315518629,0.006273521614069933,0.00648258742663047,0.0034325504536478436
Estimated Wind Power Production (Intraday),0.009051832254347504,0.008128611627147756,0.004192672323629655,0.009286915922355183,0.009240077848726333,0.003654666684205768,0.010067764904759134,0.010030820173951658,0.004692785614250078,0.010474493864912848,0.010231689001124785,0.004406707795754983,0.009075118104783475,0.009392040031790293,0.004081477434139083
Gross Actual Power Plant Generation,0.006556606252929305,0.006202912244452336,0.003916989899764575,0.00691139584175462,0.0069664465550896785,0.0032917839241061756,0.006876004751580694,0.006770573727134586,0.004888016791481823,0.0058661609117476015,0.0055692635436327695,0.0035404014886615187,0.006524565697282015,0.006751278458255729,0.002987228988274438
Gross Certified System Load (Actual),0.007425937092009917,0.0074873733155289765,0.004850780181988807,0.0071730678078580235,0.007716662123872345,0.004291048751096287,0.007645590634396784,0.007737710778065593,0.004157720168760863,0.008044749878671497,0.007159670979777888,0.00469045455804685,0.0072324246645011055,0.007513789929421477,0.0036630788803453467
Gross Planned Power Plant Generation,0.005181877305260605,0.005306475745922035,0.003957378242289996,0.005004617896204946,0.004987536246135823,0.0034448028503979654,0.004667193161132354,0.005029770919016664,0.0035223691591366726,0.005978889709166248,0.0060381296670380825,0.0036120763016378983,0.00632849702977851,0.005986107178475686,0.003344439758421504
Gross System Load Forecast (Day-Ahead),0.009613874684327266,0.009644474668194835,0.005535051868321284,0.010610176165588995,0.01237849601763137,0.0082296755446391,0.013169200281585473,0.013181878190146833,0.007283924703643157,0.014564329467592688,0.014138164236859346,0.006410661874291787,0.012201100630424332,0.01301437788341316,0.0056530762770325505
HU-AT,0.004321817884396299,0.004261590082655147,0.003535146970252384,0.00436137961624919,0.004491575526727934,0.0039319531028532305,0.0038425618702235403,0.003939536842426423,0.0036076548318307346,0.0037416858538430685,0.004094873905752581,0.0034635580185479165,0.0033415857990492766,0.0036961770048101463,0.002994006874482264
HU-AT Schedule,0.01095819718236428,0.011263725579361563,0.007284786466958712,0.009178062293504945,0.009269080730022073,0.006810669920724724,0.00971278560037524,0.009492629337840413,0.007726774957355587,0.008782175916475444,0.008925830645472706,0.0070559234985194,0.009398633379378272,0.009427810488641896,0.0060894369747718485
