feature,mean_abs_shap
Gross Planned Power Plant Generation_t+390min,1058.486623336445
Wind Power Actual - Net Commercial Settlement_t-15min,1050.7737619214186
Estimated Wind Power Production (Day-Ahead)_t+195min,1042.2821977234341
Gross Planned Power Plant Generation_t+30min,1029.8722341184819
HU-HR Schedule,1028.4426954768514
Gross System Load Forecast (Day-Ahead)_t+105min,1027.9932187347022
HU-HR Schedule_t+240min,1026.5512033282157
Gross Actual Power Plant Generation_t-240min,1025.3078793909904
Gross System Load Forecast (Day-Ahead)_t+150min,1025.191084019489
Gross Planned Power Plant Generation_t+120min,1021.0666871727402
Estimated Solar Power Production (Intraday)_t+165min,1020.853998966435
Solar Power Plants Net (Operational Control)_t-210min,1017.8906706382344
temp_mean_t+15min,1017.785711300231
HU-AT Schedule_t+615min,1016.0682198626816
HU-SK Schedule_t+75min,1014.202753323083
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-60min,1013.1602787657291
Estimated Solar Power Production (Day-Ahead)_t+345min,1011.5078866778954
System Direction (kWh)_t-15min,1007.6237182285829
ssrd_mean_t+75min,1004.1216249683191
Estimated Solar Power Production (Current)_t+240min,998.2824727557986
Solar Power Plants Net (Operational Control)_t-270min,992.8335097065535
Negative GCC Energy (kWh)_t-135min,991.0257511861753
Gross Actual Power Plant Generation_t-330min,983.4781145220552
Gross Actual Power Plant Generation_t-390min,982.6538398478322
Estimated Solar Power Production (Day-Ahead)_t+270min,982.5859965919888
HU-RO Schedule_t+615min,981.2427675320795
HU-SK Schedule_t+240min,980.0235537475538
Gross Planned Power Plant Generation_t+135min,978.0113139392536
HU-UA_t-495min,974.200021438739
Negative GCC Energy (kWh)_t-120min,973.499885636375
HU-UA Schedule_t+720min,970.6767814906477
Estimated Wind Power Production (Intraday)_t+120min,966.6238742124267
HU-UA Schedule_t+675min,965.8515005102331
HU-HR Schedule_t+120min,962.0868628738219
HU-HR Schedule_t+270min,961.3264176910228
HU-AT_t-30min,960.7223816778309
HU-UA Schedule_t+615min,960.5413440175153
10m_wind_speed_mean,954.7417661854446
HU-AT Schedule_t+135min,953.2043790438088
Requested Positive aFRR Balancing Energy (kWh)_t-300min,952.1846077211035
HU-SK_t-255min,950.9002755846548
Estimated Solar Power Production (Current)_t+210min,949.789485946083
Gross Planned Power Plant Generation_t+195min,948.9478196269015
HU-RO Schedule_t+600min,944.003369342984
HU-RS_t-570min,941.9236494158697
HU-SK Schedule_t+30min,941.1786929871487
HU-UA_t-375min,937.1148957632568
HU-RS Schedule_t+30min,925.9375491044427
HU-RO_t-540min,925.6680293928085
HU-SK_t-135min,925.2382995810669
Gross Planned Power Plant Generation_t+375min,919.6164470298118
HU-SK Schedule_t+210min,917.3215675304332
HU-AT Schedule_t+195min,915.0372048115723
Activated Positive aFRR Balancing Energy Cost (HUF)_t-30min,914.201183645546
Negative GCC Energy (kWh)_t-345min,909.5977465413905
HU-AT Schedule_t+600min,907.4697531755021
Solar Power Plants Net (Operational Control)_t-390min,904.2287585913772
Negative GCC Energy (kWh)_t-300min,903.661389244908
10m_wind_speed_std_t+75min,902.8449873415841
Estimated Wind Power Production (Current)_t+180min,897.4394561437957
Requested Negative aFRR Balancing Energy (kWh)_t-345min,897.108598869155
HU-RO Schedule_t+555min,897.0213821301855
Estimated Wind Power Production (Day-Ahead)_t+180min,893.5885012021113
HU-UA Schedule_t+645min,893.5697593812272
Estimated Solar Power Production (Current)_t+405min,893.2120128987832
Requested Negative aFRR Balancing Energy (kWh)_t-360min,890.1299811926415
HU-AT Schedule_t+660min,888.4168868930815
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-60min,886.8996488162148
Gross System Load Forecast (Day-Ahead)_t+195min,886.7578803316114
Activated Negative aFRR Balancing Energy (kWh)_t-465min,885.616449511963
Gross Actual Power Plant Generation_t-315min,881.947379334201
Gross Actual Power Plant Generation_t-450min,878.942813560165
Gross Planned Power Plant Generation_t+15min,878.4274304200934
System Direction (kWh)_t-30min,877.3989578970692
HU-RS,877.0419361466786
100m_wind_speed_mean,874.5830158159798
Gross Certified System Load (Actual)_t-330min,874.2035306649796
Activated Negative aFRR Balancing Energy (kWh)_t-480min,873.7272229436339
HU-UA_t-30min,871.2809571490629
HU-UA Schedule_t+225min,870.8930400162815
Estimated Solar Power Production (Day-Ahead)_t+240min,870.691958888546
HU-AT Schedule_t+450min,864.1429253011476
HU-HR Schedule_t+510min,864.0819418620262
HU-UA Schedule_t+660min,863.6074853968851
HU-HR Schedule_t+330min,863.6069903242577
