feature,mean_abs_shap
Activated Positive aFRR Balancing Energy (kWh)_t-15min,13.740041
HU-RO Schedule_t+195min,13.739036
Solar Power Plants Net (Operational Control)_t-345min,13.701525
Solar Power Plants Net (Operational Control)_t-195min,13.675789
Wind Power Actual - Net Commercial Settlement,13.643299
HU-SK_t-255min,13.527358
HU-RO Schedule_t+450min,13.515414
HU-UA Schedule_t+90min,13.401612
Activated Positive aFRR Balancing Energy (kWh)_t-45min,13.268933
Estimated Solar Power Production (Intraday)_t+45min,13.040604
Gross Planned System Load,12.995446
HU-AT Schedule_t+585min,12.994841
Gross System Load Forecast (Day-Ahead)_t+255min,12.949675
HU-HR Schedule_t+45min,12.895973
Gross System Load Forecast (Day-Ahead)_t+45min,12.87833
Requested Positive aFRR Balancing Energy (kWh)_t-240min,12.859523
Positive GCC Energy (kWh)_t-150min,12.805177
HU-SK Schedule_t+75min,12.742736
HU-UA Schedule_t+420min,12.674386
Gross System Load Forecast (Day-Ahead)_t+240min,12.629057
HU-AT Schedule_t+630min,12.624922
Solar Power Plants Net (Operational Control)_t-600min,12.617145
HU-HR Schedule_t+75min,12.572451
Gross System Load Forecast (Day-Ahead)_t+225min,12.489102
Solar Power Plants Net (Operational Control)_t-255min,12.401012
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-120min,12.381724
System Direction (kWh)_t-510min,12.287566
Gross System Load Forecast (Day-Ahead)_t+180min,12.262341
HU-RO Schedule_t+30min,12.254799
HU-AT_t-600min,12.253729
temp_std_t+705min,12.22213
HU-SK_t-15min,12.07179
HU-SK_t-135min,12.003675
Negative GCC Energy (kWh)_t-105min,11.956246
Solar Power Plants Net (Operational Control)_t-540min,11.944587
Solar Power Plants Net (Operational Control)_t-510min,11.728498
HU-SK_t-210min,11.679417
Requested Positive aFRR Balancing Energy (kWh)_t-345min,11.647471
Positive GCC Energy (kWh)_t-135min,11.623577
Gross System Load Forecast (Day-Ahead)_t+420min,11.594674
Gross Planned Power Plant Generation_t+120min,11.410463
Solar Power Plants Net (Operational Control)_t-225min,11.273464
HU-HR Schedule_t+195min,11.190116
Solar Power Plants Net (Operational Control)_t-525min,11.177164
Activated Positive aFRR Balancing Energy Cost (HUF)_t-270min,11.121168
HU-HR Schedule_t+90min,11.115174
Positive GCC Energy (kWh)_t-75min,11.102497
Net Planned System Load,11.03819
Gross System Load Forecast (Day-Ahead)_t+90min,11.017289
HU-AT Schedule_t+315min,10.941182
Gross System Load Forecast (Day-Ahead)_t+75min,10.826864
Gross Planned Power Plant Generation_t+315min,10.821469
HU-AT Schedule_t+675min,10.783539
temp_avg_t+15min,10.735803
HU-RO Schedule_t+345min,10.623621
Estimated Solar Power Production (Intraday)_t+210min,10.609739
HU-RO Schedule_t+720min,10.58206
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-150min,10.566087
Solar Power Plants Net (Operational Control)_t-300min,10.520629
Estimated Wind Power Production (Intraday)_t+270min,10.486687
System Direction (kWh)_t-105min,10.348044
HU-HR_t-285min,10.336693
Gross System Load Forecast (Day-Ahead)_t+60min,10.318855
Gross System Load Forecast (Day-Ahead)_t+210min,10.305715
Activated Negative aFRR Balancing Energy Cost (HUF)_t-165min,10.197947
Positive GCC Energy (kWh)_t-165min,10.194017
Solar Power Plants Net (Operational Control)_t-570min,10.162601
Net Planned System Generation,10.160654
Net Actual System Load - Net Commercial Settlement Measurement,10.155913
Net Planned System Generation_t-285min,10.124154
HU-RO Schedule_t+330min,10.076751
Gross System Load Forecast (Day-Ahead)_t+195min,10.058479
Estimated Solar Power Production (Day-Ahead)_t+300min,9.931073
Activated Positive aFRR Balancing Energy (kWh)_t-300min,9.874789
HU-UA Schedule_t+555min,9.864929
Solar Power Plants Net (Operational Control)_t-360min,9.768138
Estimated Solar Power Production (Day-Ahead)_t+360min,9.754549
HU-HR Schedule_t+210min,9.741335
Requested Negative aFRR Balancing Energy (kWh)_t-585min,9.708628
HU-RO_t-60min,9.685089
